파일번호,페이지,문제번호,답안좌표,이름,학번
10,1,1,"1161, 1293",Unknown,Unknown
10,1,2,"247, 1545",Unknown,Unknown
10,1,3,"1157, 1762",Unknown,Unknown
11,1,1,"257, 692",Unknown,Unknown
11,1,2,"1146, 1651",Unknown,Unknown
11,1,3,"250, 1660",Unknown,Unknown
12,2,5,"1179, 604",Unknown,Unknown
12,2,6,"1172, 1117",Unknown,Unknown
12,2,7,"1175, 2107",Unknown,Unknown
12,2,8,"237, 2152",Unknown,Unknown
